stationcode,name,capacity,longitude,latitude
9011,Geoffroy - Marie,20.0,2.344513876337893,48.873781940593325
12028,Vivaldi - Antoine-Julien Hénard,27.0,2.389728979467376,48.841923663276546
12035,Madagascar - Meuniers,33.0,2.3970650508999825,48.83460464474706
10021,Marché Saint-Quentin,15.0,2.3545114456374,48.877356057652
44011,Lebrun - Colonel Fabien,27.0,2.381317801773548,48.78266870733145
2108,Vivienne - Montmartre,39.0,2.3414588347077,48.871347597383
21707,Square Etienne Jarousse,25.0,2.2925933450460434,48.82485182597129
4019,Cloître Saint-Merri - Renard,32.0,2.3518279194832,48.858835448898
5001,Harpe - Saint-Germain,45.0,2.3436703160405,48.851518815017
20015,Bagnolet - Orteaux,36.0,2.3984125256538396,48.85708641027236
15039,Abbé Groult - Convention,12.0,2.302064039509349,48.83596927866069
2112,Bibliothèque Nationale - Richelieu,17.0,2.3380893096328,48.868288993515
6022,Marché Saint-Germain,21.0,2.335500307381153,48.85165625855281
15006,Cherche-Midi - Hôpital Necker,38.0,2.317914068698883,48.84461063309956
21402,Place Aimé Césaire,27.0,2.2429127991199493,48.783194713067815
41403,Gare RER - Malleret-Joinville,20.0,2.42531,48.802936
21303,Jean Monnet - Iles,32.0,2.2497073194874866,48.823393984057304
9007,Condorcet - Turgot,20.0,2.345232367515564,48.87985155789093
13052,Leredde - Tolbiac,44.0,2.3744382709265,48.82887629664
17024,Villiers - Batignolles,23.0,2.31653843075037,48.88125253846116
15127,Place Charles Michels,37.0,2.28502,48.846401
33103,Jean Jaurès - Jules Jacquemin,24.0,2.4082902455152104,48.88433053604843
41401,Marne - Charles de Gaulle,27.0,2.4121668934822087,48.815071719544434
41606,Pasteur - Gambetta,19.0,2.4236011505126953,48.84572797384512
17045,Place des Ternes.,46.0,2.297727763652802,48.87843863122651
43402,Place de Verdun,40.0,2.473775,48.8202823
33018,Edouard Poisson - Victor Hugo,30.0,2.379864752692811,48.91118557052621
12013,Montgallet - Reuilly,16.0,2.3896481,48.844291
21955,Vaugirard - Verrerie,0.0,2.2367222622987,48.820881336842
8033,Commandant Rivière,42.0,2.309796,48.872933
23801,Place de la Gare,0.0,2.1866139007512,48.838513582184
23001,Paul Vaillant Couturier - Chaptal,39.0,2.2775253653526,48.893479576183
17037,Bayen - Pereire,22.0,2.2921088710427284,48.881804409079656
19004,Quai de la Loire - Jean Jaurès,16.0,2.371074522980134,48.88339733854529
33003,Bordier - Félix Faure,48.0,2.3830059170722966,48.90390751882016
5106,Cujas - Saint-Michel,19.0,2.341831654854,48.848191348584
25005,18 juin 1940 - Buzenval,25.0,2.185428,48.868807
22505,Mairie de La Garenne Colombes,22.0,2.24679596722126,48.90663823468682
19115,Porte de la Villette,27.0,2.386150136590004,48.89835196548483
14034,Ouest - Château,23.0,2.319392143923804,48.83617286014242
16018,Flandrin - Henri Martin,18.0,2.2724174,48.8643275
12034,Pirogues de Bercy - Libourne,49.0,2.38637,48.832308
15033,Place Violet,30.0,2.2905756533145905,48.84487893836502
19044,Grands Moulins de Pantin,50.0,2.395998537540436,48.89738369720229
24002,Gare de Courbevoie,35.0,2.2506506,48.8993867
16034,Porte d'Auteuil,33.0,2.2608396783471107,48.8479394142243
23802,Raymond Poincaré - Allée de la Marche,0.0,2.1724102640451,48.838634069623
20132,Réunion - Avron,26.0,2.403928068708116,48.852566752033766
20119,Square des Saint-Simoniens,25.0,2.3967273,48.8701796
19019,Petit - Manin,22.0,2.3938155401308374,48.88650687534334
92003,Chanzy - Sud-Est,25.0,2.195632159709931,48.888912037698766
35009,Jean Lolive - Parc Stalingrad,22.0,2.4091735482215886,48.89206174403158
31705,Champeaux - Gallieni,50.0,2.4161778017878532,48.86445913468464
27002,Parc Pierre Lagravère,30.0,2.239069678491417,48.92650488131725
21502,Verdun - Place Henri IV,26.0,2.2277003154158592,48.870797375639214
31012,Place Carnot,25.0,2.441531717777252,48.85593932186797
35019,Anatole France - Jean Lolive,28.0,2.4253764,48.8949922
14104,Boyer-Barret - Raymond Losserand,23.0,2.3173383995890617,48.83329880233322
8012,Batignolles - Place de Clichy,47.0,2.326493114233,48.883474535757
41604,Lagny - Joffre,31.0,2.417949736118317,48.84930687084088
15017,Place Falguière,23.0,2.3104464635252953,48.83629973941847
